clustered,ecoinvent_prod,manual_match_certainty,hard no
"""l"" weld nuts","welding, arc, steel",no,
"""l"" weld nuts","welding, gas, steel",no,
"""l"" weld nuts","welding, arc, aluminium",no,
"""moto scooter"" annonces"" maison""","maintenance, motor scooter",no,
"""moto scooter"" annonces"" maison""",used motor scooter,no,
"""moto scooter"" annonces"" maison""","transport, passenger, motor scooter",no,
"""moto scooter"" annonces"" maison""","transport, passenger, electric scooter",no,
"""moto scooter"" annonces"" maison""","used glider, electric scooter",no,
1-speed electric chain hoists,electric bicycle,no,
1-speed electric chain hoists,used electric bicycle,no,
1/4 pallets,EUR-flat pallet,high,
100% natural essential oils,"cottonseed oil, refined",no,
100% natural essential oils,"vegetable oil, refined",no,
100% natural essential oils,"palm oil, refined",no,
100% natural essential oils,"palm oil, crude",no,
100% natural essential oils,"coconut oil, crude",no,
100% natural prepared dishes,"natural stone plate, polished",no,
100% natural prepared dishes,sanitary ceramics,no,
100% natural prepared dishes,"sawnwood, board, softwood, raw, dried (u=20%)",no,
100% natural prepared dishes,"sawnwood, board, softwood, raw, dried (u=10%)",no,
100% natural prepared dishes,"sawnwood, softwood, raw, dried (u=20%)",no,
100% olive oil soap bar,soap,high,
100% olive oil soap bar,olive,no,
100% olive oil soap bar,"sodium silicate, spray powder, 80%",no,
100% olive oil soap bar,lubricating oil,no,
100% olive oil soap bar,silicone product,no,
100% organic nutrients,"protein feed, 100% crude",no,
100% organic nutrients,"soybean, organic",no,
100% organic nutrients,"hay, organic, intensive",no,
100% organic nutrients,"potato seed, organic, at farm",no,
100% organic nutrients,"protein pea, organic",no,
12 ct gold jewellery,"gold, unrefined",no,
12 ct gold jewellery,"gold-silver, ingot",no,
12 ct gold jewellery,precious metal refinery,no,
12 ct gold jewellery,platinum,no,
12 ct gold jewellery,gold,no,
14 ct gold jewellery,"gold, unrefined",no,
14 ct gold jewellery,precious metal refinery,no,
14 ct gold jewellery,"gold-silver, ingot",no,
14 ct gold jewellery,bronze,no,
14 ct gold jewellery,gold,no,
18 ct gold jewellery,"gold, unrefined",no,
18 ct gold jewellery,precious metal refinery,no,
18 ct gold jewellery,gold,no,
18 ct gold jewellery,"gold-silver, ingot",no,
18 ct gold jewellery,platinum,no,
18mm plywood,plywood,high,
18mm plywood,"residues, MSWI-WWT, WW from plywood production",no,
18mm plywood,wastewater from plywood production,no,
18mm plywood,"window frame, wood, U=1.5 W/m2K",no,
18mm plywood,"residues, MSWI[F]-WWT, WW from plywood production",no,
1st choice rattan strip,1-pentanol,no,
1st choice rattan strip,pentane,no,
1st choice rattan strip,isobutanol,no,
1st choice viscose,"fibre, viscose",high,
1st choice viscose,"coconut oil, crude",no,
1st choice viscose,bilge oil,no,
2-speed electric chain hoists,electric bicycle,no,
2-speed electric chain hoists,used electric bicycle,no,
24-hour vending machine,building machine,no,
24-hour vending machine,paper machine,no,
24-hour vending machine,"maintenance, refrigeration machine",no,
250l kraftliner drums,"containerboard, linerboard",no,
250l kraftliner drums,medium density fibreboard,no,
250ml fanta drinks,spent antifreezer liquid,no,
250ml fanta drinks,"petrol, 5% ethanol by volume from biomass",no,
250ml fanta drinks,"petrol, 85% ethanol by volume from biomass",no,
250ml fanta drinks,"fluorine, liquid",no,
250ml fanta drinks,"diethyl ether, without water, in 99.95% solution state",no,
2nd hand machine,paper machine,no,
