Unnamed: 0,clustered,ecoinvent_prod,manual_match_certainty,manual_certainty,hard no
0,"""l"" weld nuts","welding, arc, steel",no,no,
1,"""l"" weld nuts","welding, gas, steel",no,no,
2,"""l"" weld nuts","welding, arc, aluminium",no,no,
3,"""moto scooter"" annonces"" maison""","maintenance, motor scooter",no,no,
4,"""moto scooter"" annonces"" maison""",used motor scooter,no,no,
5,"""moto scooter"" annonces"" maison""","transport, passenger, motor scooter",no,no,
6,"""moto scooter"" annonces"" maison""","transport, passenger, electric scooter",no,no,
7,"""moto scooter"" annonces"" maison""","used glider, electric scooter",no,no,
8,1-speed electric chain hoists,electric bicycle,no,no,
9,1-speed electric chain hoists,used electric bicycle,no,no,
10,1/4 pallets,EUR-flat pallet,high,yes,
11,100% natural essential oils,"cottonseed oil, refined",no,no,
12,100% natural essential oils,"vegetable oil, refined",no,no,
13,100% natural essential oils,"palm oil, refined",no,no,
14,100% natural essential oils,"palm oil, crude",no,no,
15,100% natural essential oils,"coconut oil, crude",no,no,
16,100% natural prepared dishes,"natural stone plate, polished",no,no,
17,100% natural prepared dishes,sanitary ceramics,no,no,
18,100% natural prepared dishes,"sawnwood, board, softwood, raw, dried (u=20%)",no,no,
19,100% natural prepared dishes,"sawnwood, board, softwood, raw, dried (u=10%)",no,no,
20,100% natural prepared dishes,"sawnwood, softwood, raw, dried (u=20%)",no,no,
21,100% olive oil soap bar,soap,high,yes,
22,100% olive oil soap bar,olive,no,no,
23,100% olive oil soap bar,"sodium silicate, spray powder, 80%",no,no,
24,100% olive oil soap bar,lubricating oil,no,no,
25,100% olive oil soap bar,silicone product,no,no,
26,100% organic nutrients,"protein feed, 100% crude",no,no,
27,100% organic nutrients,"soybean, organic",no,no,
28,100% organic nutrients,"hay, organic, intensive",no,no,
29,100% organic nutrients,"potato seed, organic, at farm",no,no,
30,100% organic nutrients,"protein pea, organic",no,no,
31,12 ct gold jewellery,"gold, unrefined",no,no,
32,12 ct gold jewellery,"gold-silver, ingot",no,no,
33,12 ct gold jewellery,precious metal refinery,no,no,
34,12 ct gold jewellery,platinum,no,no,
35,12 ct gold jewellery,gold,no,no,
36,14 ct gold jewellery,"gold, unrefined",no,no,
37,14 ct gold jewellery,precious metal refinery,no,no,
38,14 ct gold jewellery,"gold-silver, ingot",no,no,
39,14 ct gold jewellery,bronze,no,no,
40,14 ct gold jewellery,gold,no,no,
