Activity UUID_Product UUID;Activity Name;Geography;Reference Product Name
4cbdb257-8347-5dff-8abb-147a4c7e52f9_807906d0-f3cb-4a7c-a528-ae497a61bf12;1,1-difluoroethane production;RoW;1,1-difluoroethane
bcb3c411-22db-564c-9b1a-887380b0b7df_807906d0-f3cb-4a7c-a528-ae497a61bf12;1,1-difluoroethane production;US;1,1-difluoroethane
f3b665ba-ae34-5c84-981d-d40ffd3edba8_c6c77fb4-9850-4849-be9e-71fc9656bc03;1,1-dimethylcyclopentane to generic market for solvent, organic;GLO;solvent, organic
1dc5827c-9051-54f5-aa0a-9018d645b6e6_fb76d2b4-16bb-4373-bcdf-03545f362b83;1,3-dichloropropene to generic market for pesticide, unspecified;GLO;pesticide, unspecified
76dd726e-cea5-5855-82a0-810040d595ee_dbc24013-2cb4-421e-850f-eedb0048bd2c;1,4-butanediol production;RoW;1,4-butanediol
1b6d0c47-a1fd-59c2-9ecf-587bd8bd6a79_dbc24013-2cb4-421e-850f-eedb0048bd2c;1,4-butanediol production;RER;1,4-butanediol
ce8c72dd-ae5a-56c5-850f-d38edc6a822f_95aedd09-379e-5ee5-b2af-d220968c898b;1-methoxy-2-propanol production;GLO;1-methoxy-2-propanol
1e73aeaf-e106-59c7-b49a-f9eb4b7712e1_e24e6570-ecf4-5e34-8d59-a9066687bf17;1-methylcyclopropene production;GLO;1-methylcyclopropene
1e73aeaf-e106-59c7-b49a-f9eb4b7712e1_edcfa83a-363a-4b2d-8d6a-612e32dfcdfc;1-methylcyclopropene production;GLO;sodium chloride, powder
9229d0c4-d5c7-5389-ad7e-beb00696ad0b_293c4e3e-6450-5f70-8607-2624c4b48715;1-naphthylacetic acid production;GLO;1-naphthylacetic acid
4f6865f8-86d8-513c-941c-5fbb5b6d678b_b7b72951-a57c-4364-9b49-ea3c7cb03d00;1-propanol production;RoW;1-propanol
0b65835d-52a6-54d0-ae7d-400b96668a61_b7b72951-a57c-4364-9b49-ea3c7cb03d00;1-propanol production;RER;1-propanol
a33f479b-c935-55f0-9983-7bc745d43917_c6c77fb4-9850-4849-be9e-71fc9656bc03;2,3-dimethylbutan to generic market for solvent, organic;GLO;solvent, organic
e288d63e-d333-59fe-b78b-d87328c7cd7e_9d005382-c0b6-5cdc-a56c-96d392f0b1a6;2,4-di-tert-butylphenol production;GLO;2,4-di-tert-butylphenol
31e9e007-7d47-5b5a-9075-71ff8f933b2b_f1df8dfc-212e-49a2-bfbc-287dc8eb5da3;2,4-dichlorophenol production;RoW;2,4-dichlorophenol
e08b8104-d1fe-5131-9df7-052811500083_f1df8dfc-212e-49a2-bfbc-287dc8eb5da3;2,4-dichlorophenol production;RER;2,4-dichlorophenol
46fb5579-384e-5b66-b34c-68cb656fb4a3_04ec6467-1e9f-426c-b84a-687d6164b6c1;2,4-dichlorotoluene production;RoW;2,4-dichlorotoluene
aa2d98ca-6480-5221-be3c-4c98656a93fb_04ec6467-1e9f-426c-b84a-687d6164b6c1;2,4-dichlorotoluene production;RER;2,4-dichlorotoluene
