Activity UUID_Product UUID,Activity Name,Geography,Reference Product Name,lca_geo
4cbdb257-8347-5dff-8abb-147a4c7e52f9_807906d0-f3cb-4a7c-a528-ae497a61bf12,"1,1-difluoroethane production",RoW,"1,1-difluoroethane",row
f3b665ba-ae34-5c84-981d-d40ffd3edba8_c6c77fb4-9850-4849-be9e-71fc9656bc03,"1,1-dimethylcyclopentane to generic market for solvent, organic",GLO,"solvent, organic",glo
1dc5827c-9051-54f5-aa0a-9018d645b6e6_fb76d2b4-16bb-4373-bcdf-03545f362b83,"1,3-dichloropropene to generic market for pesticide, unspecified",GLO,"pesticide, unspecified",glo
76dd726e-cea5-5855-82a0-810040d595ee_dbc24013-2cb4-421e-850f-eedb0048bd2c,"1,4-butanediol production",RoW,"1,4-butanediol",row
1b6d0c47-a1fd-59c2-9ecf-587bd8bd6a79_dbc24013-2cb4-421e-850f-eedb0048bd2c,"1,4-butanediol production",RER,"1,4-butanediol",rer
ce8c72dd-ae5a-56c5-850f-d38edc6a822f_95aedd09-379e-5ee5-b2af-d220968c898b,1-methoxy-2-propanol production,GLO,1-methoxy-2-propanol,glo
1e73aeaf-e106-59c7-b49a-f9eb4b7712e1_e24e6570-ecf4-5e34-8d59-a9066687bf17,1-methylcyclopropene production,GLO,1-methylcyclopropene,glo
1e73aeaf-e106-59c7-b49a-f9eb4b7712e1_edcfa83a-363a-4b2d-8d6a-612e32dfcdfc,1-methylcyclopropene production,GLO,"sodium chloride, powder",glo
9229d0c4-d5c7-5389-ad7e-beb00696ad0b_293c4e3e-6450-5f70-8607-2624c4b48715,1-naphthylacetic acid production,GLO,1-naphthylacetic acid,glo
4f6865f8-86d8-513c-941c-5fbb5b6d678b_b7b72951-a57c-4364-9b49-ea3c7cb03d00,1-propanol production,RoW,1-propanol,row
0b65835d-52a6-54d0-ae7d-400b96668a61_b7b72951-a57c-4364-9b49-ea3c7cb03d00,1-propanol production,RER,1-propanol,rer
a33f479b-c935-55f0-9983-7bc745d43917_c6c77fb4-9850-4849-be9e-71fc9656bc03,"2,3-dimethylbutan to generic market for solvent, organic",GLO,"solvent, organic",glo
e288d63e-d333-59fe-b78b-d87328c7cd7e_9d005382-c0b6-5cdc-a56c-96d392f0b1a6,"2,4-di-tert-butylphenol production",GLO,"2,4-di-tert-butylphenol",glo
31e9e007-7d47-5b5a-9075-71ff8f933b2b_f1df8dfc-212e-49a2-bfbc-287dc8eb5da3,"2,4-dichlorophenol production",RoW,"2,4-dichlorophenol",row
e08b8104-d1fe-5131-9df7-052811500083_f1df8dfc-212e-49a2-bfbc-287dc8eb5da3,"2,4-dichlorophenol production",RER,"2,4-dichlorophenol",rer
46fb5579-384e-5b66-b34c-68cb656fb4a3_04ec6467-1e9f-426c-b84a-687d6164b6c1,"2,4-dichlorotoluene production",RoW,"2,4-dichlorotoluene",row
aa2d98ca-6480-5221-be3c-4c98656a93fb_04ec6467-1e9f-426c-b84a-687d6164b6c1,"2,4-dichlorotoluene production",RER,"2,4-dichlorotoluene",rer
dbba511b-eaf3-50ef-9ac5-6b883a209e4b_36a34f57-eadf-441b-a354-a10fe3d5f2bc,"2,4-dinitrotoluene production",RoW,"2,4-dinitrotoluene",row
e83bfa4b-4fa5-5623-976b-80086cd36179_36a34f57-eadf-441b-a354-a10fe3d5f2bc,"2,4-dinitrotoluene production",RER,"2,4-dinitrotoluene",rer
776ee643-c986-591a-8a68-ac204ddd3f72_4de1ac3c-15ac-5165-9c53-78dd251fdf2c,"2,5-dimethylhexane-2,5-dihydroperoxide production",GLO,"2,5-dimethylhexane-2,5-dihydroperoxide",glo
a048e7d9-6cfa-5a83-9525-d320a562fcfd_0fd5517a-5e54-5aed-9057-ab93b60324ad,"2,6-di-tert-butylphenol production",GLO,"2,6-di-tert-butylphenol",glo
bfedb7a3-b59b-5598-b94f-c48b8ee40c09_dab51c45-3349-4fbf-8dbc-cc97ffdd57df,2-butanol production by hydration of butene,RoW,2-butanol,row
bfedb7a3-b59b-5598-b94f-c48b8ee40c09_aaa1fb85-4e0e-426e-808a-35987bd8d486,2-butanol production by hydration of butene,RoW,butane,row
fa920f62-9292-5b74-846f-4736d67ef949_dab51c45-3349-4fbf-8dbc-cc97ffdd57df,2-butanol production by hydration of butene,RER,2-butanol,rer
fa920f62-9292-5b74-846f-4736d67ef949_aaa1fb85-4e0e-426e-808a-35987bd8d486,2-butanol production by hydration of butene,RER,butane,rer
d3ceaa24-1a31-5385-aac9-2ad799acb4d9_dafa1eaf-3254-436c-a273-1f38b10ee28e,"2-cyclopentanone production, decarboxylative cyclization of adipic acid",RoW,2-cyclopentanone,row
d3ceaa24-1a31-5385-aac9-2ad799acb4d9_118a9202-6b68-44aa-82b5-2c2bf5bc02cf,"2-cyclopentanone production, decarboxylative cyclization of adipic acid",RoW,formic acid,row
51f070bf-dc34-5522-b181-bb60da87ecbf_dafa1eaf-3254-436c-a273-1f38b10ee28e,"2-cyclopentanone production, decarboxylative cyclization of adipic acid",RER,2-cyclopentanone,rer
51f070bf-dc34-5522-b181-bb60da87ecbf_118a9202-6b68-44aa-82b5-2c2bf5bc02cf,"2-cyclopentanone production, decarboxylative cyclization of adipic acid",RER,formic acid,rer
a39681bd-b61e-5e36-9691-d1ccc52b1972_11bd64cc-4415-44e4-8cf0-edde6adc6b46,2-methyl-2-butanol production,RoW,2-methyl-2-butanol,row
c4c61eb8-ddaa-5ae3-9249-775efce3944b_11bd64cc-4415-44e4-8cf0-edde6adc6b46,2-methyl-2-butanol production,RER,2-methyl-2-butanol,rer
26ec600b-d78e-585f-afa6-a3bcea2c4644_c6c77fb4-9850-4849-be9e-71fc9656bc03,"2-methylpentane to generic market for solvent, organic",GLO,"solvent, organic",glo
0992db6e-8891-5d3b-a51b-ad14d1776c65_089f5c04-e340-42c4-bf9c-e8ec6174443a,2-nitroaniline production,RoW,2-nitroaniline,row
0a036d48-cbd5-5969-b9fa-c2964552b6ea_089f5c04-e340-42c4-bf9c-e8ec6174443a,2-nitroaniline production,RER,2-nitroaniline,rer
b67a369a-a2cf-5b3f-b308-ab100e70addb_e3449af4-a6f1-484b-88c9-eab58f41a250,2-pyridinol production,RoW,2-pyridinol,row
87a8e499-9f2f-5170-8104-308aeb5d81fa_e3449af4-a6f1-484b-88c9-eab58f41a250,2-pyridinol production,RER,2-pyridinol,rer
da279b52-bb0c-5056-8e07-3d2a16ed176f_ef84c866-e125-4835-8747-ed684e87d36e,3-methyl-1-butyl acetate production,RoW,3-methyl-1-butyl acetate,row
ec2d09e6-22a1-501b-a249-7ef416926c67_ef84c866-e125-4835-8747-ed684e87d36e,3-methyl-1-butyl acetate production,RER,3-methyl-1-butyl acetate,rer
9355e112-ddd2-5fc5-821d-bffe885c54e9_f624efa9-1c07-54f3-b9fd-5e30dd0e3d04,3-methylpyridine production,RoW,3-methylpyridine,row
3f114480-7cdf-5b4e-86f6-a8f6e9751e07_f624efa9-1c07-54f3-b9fd-5e30dd0e3d04,3-methylpyridine production,RER,3-methylpyridine,rer
bb5225e7-d39d-53a2-abca-54aee4b6f9ca_d1a3ebf3-e2d5-4da1-8090-664c9160aa33,4-methyl-2-pentanone production,RoW,4-methyl-2-pentanone,row
a7d1681b-55d9-53df-bb9a-22c5582c469f_d1a3ebf3-e2d5-4da1-8090-664c9160aa33,4-methyl-2-pentanone production,RER,4-methyl-2-pentanone,rer
52fa4d18-d655-5ed9-ac21-5393106b058e_abba9c52-1cf4-40a9-a2bf-2681b3e84b1c,4-tert-butylbenzaldehyde production,RoW,4-tert-butylbenzaldehyde,row
301434cd-eafe-5a10-9c9a-255e8f17fe47_abba9c52-1cf4-40a9-a2bf-2681b3e84b1c,4-tert-butylbenzaldehyde production,RER,4-tert-butylbenzaldehyde,rer
3531ca99-2595-5862-ae5d-c243210a0117_2f5bfd17-304f-4568-b051-155ed2d2f3b0,4-tert-butyltoluene production,RoW,4-tert-butyltoluene,row
0884631c-6e37-51c5-aaf5-895a4c479bfd_2f5bfd17-304f-4568-b051-155ed2d2f3b0,4-tert-butyltoluene production,RER,4-tert-butyltoluene,rer
3bef3713-d1a2-54ba-96f0-3577e8b10714_24369ed5-0601-530a-b117-da1d4488eb18,6-benzyladenine production,GLO,6-benzyladenine,glo
0960e679-1778-5773-b9e6-8659f79f90bc_f598c5db-f614-47c6-a037-2ab56003e360,"BTX production, from pyrolysis gas, average",RoW,benzene,row
0960e679-1778-5773-b9e6-8659f79f90bc_2bf8dd55-68b5-4840-b90a-863cac91cdc4,"BTX production, from pyrolysis gas, average",RoW,"hydrocarbons, aromatic, cyclic (C9+)",row
0960e679-1778-5773-b9e6-8659f79f90bc_bbedf69c-8580-4168-8993-3c3d729e713f,"BTX production, from pyrolysis gas, average",RoW,o-xylene,row
0960e679-1778-5773-b9e6-8659f79f90bc_052b93eb-4246-4cb8-856b-11cf99e5372f,"BTX production, from pyrolysis gas, average",RoW,p-xylene,row
0960e679-1778-5773-b9e6-8659f79f90bc_39c3a4eb-af30-4d11-8484-aad16e31a2bc,"BTX production, from pyrolysis gas, average",RoW,raffinate,row
0960e679-1778-5773-b9e6-8659f79f90bc_7856dace-7366-43e2-9f81-83d63e579efc,"BTX production, from pyrolysis gas, average",RoW,"toluene, liquid",row
0960e679-1778-5773-b9e6-8659f79f90bc_43c61790-cbeb-493e-8836-279a12ce3e43,"BTX production, from pyrolysis gas, average",RoW,"xylene, mixed",row
ad750e8d-70c9-50dd-989f-f881aecf040c_f598c5db-f614-47c6-a037-2ab56003e360,"BTX production, from pyrolysis gas, average",RER,benzene,rer
ad750e8d-70c9-50dd-989f-f881aecf040c_2bf8dd55-68b5-4840-b90a-863cac91cdc4,"BTX production, from pyrolysis gas, average",RER,"hydrocarbons, aromatic, cyclic (C9+)",rer
ad750e8d-70c9-50dd-989f-f881aecf040c_bbedf69c-8580-4168-8993-3c3d729e713f,"BTX production, from pyrolysis gas, average",RER,o-xylene,rer
ad750e8d-70c9-50dd-989f-f881aecf040c_052b93eb-4246-4cb8-856b-11cf99e5372f,"BTX production, from pyrolysis gas, average",RER,p-xylene,rer
ad750e8d-70c9-50dd-989f-f881aecf040c_39c3a4eb-af30-4d11-8484-aad16e31a2bc,"BTX production, from pyrolysis gas, average",RER,raffinate,rer
ad750e8d-70c9-50dd-989f-f881aecf040c_7856dace-7366-43e2-9f81-83d63e579efc,"BTX production, from pyrolysis gas, average",RER,"toluene, liquid",rer
ad750e8d-70c9-50dd-989f-f881aecf040c_43c61790-cbeb-493e-8836-279a12ce3e43,"BTX production, from pyrolysis gas, average",RER,"xylene, mixed",rer
9bde36c9-79d1-5f92-93ed-81e6864981c7_f598c5db-f614-47c6-a037-2ab56003e360,"BTX production, from reformate, average",RoW,benzene,row
9bde36c9-79d1-5f92-93ed-81e6864981c7_2bf8dd55-68b5-4840-b90a-863cac91cdc4,"BTX production, from reformate, average",RoW,"hydrocarbons, aromatic, cyclic (C9+)",row
9bde36c9-79d1-5f92-93ed-81e6864981c7_bbedf69c-8580-4168-8993-3c3d729e713f,"BTX production, from reformate, average",RoW,o-xylene,row
9bde36c9-79d1-5f92-93ed-81e6864981c7_052b93eb-4246-4cb8-856b-11cf99e5372f,"BTX production, from reformate, average",RoW,p-xylene,row
9bde36c9-79d1-5f92-93ed-81e6864981c7_39c3a4eb-af30-4d11-8484-aad16e31a2bc,"BTX production, from reformate, average",RoW,raffinate,row
9bde36c9-79d1-5f92-93ed-81e6864981c7_7856dace-7366-43e2-9f81-83d63e579efc,"BTX production, from reformate, average",RoW,"toluene, liquid",row
9bde36c9-79d1-5f92-93ed-81e6864981c7_43c61790-cbeb-493e-8836-279a12ce3e43,"BTX production, from reformate, average",RoW,"xylene, mixed",row
e108d61d-72d7-5326-9357-c5d3e5e3cb48_f598c5db-f614-47c6-a037-2ab56003e360,"BTX production, from reformate, average",RER,benzene,rer
e108d61d-72d7-5326-9357-c5d3e5e3cb48_2bf8dd55-68b5-4840-b90a-863cac91cdc4,"BTX production, from reformate, average",RER,"hydrocarbons, aromatic, cyclic (C9+)",rer
e108d61d-72d7-5326-9357-c5d3e5e3cb48_bbedf69c-8580-4168-8993-3c3d729e713f,"BTX production, from reformate, average",RER,o-xylene,rer
e108d61d-72d7-5326-9357-c5d3e5e3cb48_052b93eb-4246-4cb8-856b-11cf99e5372f,"BTX production, from reformate, average",RER,p-xylene,rer
e108d61d-72d7-5326-9357-c5d3e5e3cb48_39c3a4eb-af30-4d11-8484-aad16e31a2bc,"BTX production, from reformate, average",RER,raffinate,rer
e108d61d-72d7-5326-9357-c5d3e5e3cb48_7856dace-7366-43e2-9f81-83d63e579efc,"BTX production, from reformate, average",RER,"toluene, liquid",rer
e108d61d-72d7-5326-9357-c5d3e5e3cb48_43c61790-cbeb-493e-8836-279a12ce3e43,"BTX production, from reformate, average",RER,"xylene, mixed",rer
d87cacf2-89f6-59c2-8d81-466a2a186e92_07f702da-9f08-4082-85ea-6a3586caddd2,"C3 hydrocarbon production, mixture, petroleum refinery operation",Europe without Switzerland,C3 hydrocarbon mixture,europe without switzerland
d791f681-b878-5fff-b64a-aa47f865f9e7_07f702da-9f08-4082-85ea-6a3586caddd2,"C3 hydrocarbon production, mixture, petroleum refinery operation",RoW,C3 hydrocarbon mixture,row
cec9b880-12d6-53df-81b7-d89cb7b6fbef_7cb72345-4338-4f2d-830f-65bba3530fdb,Distiller's Dried Grains with Solubles to generic market for protein feed,GLO,"energy feed, gross",glo
cec9b880-12d6-53df-81b7-d89cb7b6fbef_8b2dfb58-660d-44eb-b83f-5d9e28e467db,Distiller's Dried Grains with Solubles to generic market for protein feed,GLO,"protein feed, 100% crude",glo
9c64b8bf-03ce-5405-b78d-a7da3ca716df_9e68d1ff-39d8-4962-a34f-c1cf285a3ff7,EUR-flat pallet production,RoW,EUR-flat pallet,row
00be2170-7659-5dc0-9d49-b1a075cae710_9e68d1ff-39d8-4962-a34f-c1cf285a3ff7,EUR-flat pallet production,RER,EUR-flat pallet,rer
d79efe06-84a7-5f52-8ff5-9f89fd3a2ee0_b1efaf6a-5552-4de0-bc1d-b65796d9fb30,"MOX fuel element production, for light water reactor",RoW,"MOX fuel element, for light water reactor",row
6dc7e289-b460-5573-9789-b49e38c83977_b1efaf6a-5552-4de0-bc1d-b65796d9fb30,"MOX fuel element production, for light water reactor",UCTE,"MOX fuel element, for light water reactor",ucte
d081fc43-e950-5407-9c56-e4e49f51c32f_16303e09-077e-4532-98c2-95fae1eb66fb,"N,N-dimethylformamide production, direct synthesis",RoW,"N,N-dimethylformamide",row
e755dade-8c05-5d4d-9c75-79800be63b98_16303e09-077e-4532-98c2-95fae1eb66fb,"N,N-dimethylformamide production, direct synthesis",RER,"N,N-dimethylformamide",rer
e0a457da-a8ab-5858-8fa4-5a59feb18185_5625ac3e-8ca9-43d4-84a7-a643738095e6,N-methyl-2-pyrrolidone production,RoW,N-methyl-2-pyrrolidone,row
e6f7adf2-f0c6-56b3-bd5c-4fdf6f37cdbe_5625ac3e-8ca9-43d4-84a7-a643738095e6,N-methyl-2-pyrrolidone production,RER,N-methyl-2-pyrrolidone,rer
6d4412a8-867c-5e5e-8b5e-3edef712646c_e71acee2-c894-4b95-a52c-8bd06f6262d0,"NCA hydroxide production, for Li-ion battery",RoW,NCA hydroxide,row
6d4412a8-867c-5e5e-8b5e-3edef712646c_2cfef82e-cb0d-4864-8163-9651fc6c25eb,"NCA hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",row
97b8bf19-6cc1-5cf6-bc68-fa5584fab8e8_89e28693-8517-48b2-b6bd-e5dbda067dfc,"NCA oxide production, for Li-ion battery",RoW,NCA oxide,row
89fed061-36e8-5434-a654-77f3611d828e_3ca954ab-d833-4ca4-85d5-e53afa21a1c8,"NMC111 hydroxide production, for Li-ion battery",RoW,NMC111 hydroxide,row
89fed061-36e8-5434-a654-77f3611d828e_2cfef82e-cb0d-4864-8163-9651fc6c25eb,"NMC111 hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",row
2541091d-cc5e-5f00-af77-0f29a8567f42_fa61e123-954d-4c67-a47a-215cc17a7f00,"NMC111 oxide production, for Li-ion battery",RoW,NMC111 oxide,row
dfecf67e-26c7-5d22-9d36-51e3e293e1b6_d58b2ab4-8d9f-4be7-9cba-d02bbb8da1df,"NMC811 hydroxide production, for Li-ion battery",RoW,NMC811 hydroxide,row
dfecf67e-26c7-5d22-9d36-51e3e293e1b6_2cfef82e-cb0d-4864-8163-9651fc6c25eb,"NMC811 hydroxide production, for Li-ion battery",RoW,"sodium sulfate, anhydrite",row
