activity_uuid_product_uuid,activity_uuid,lca_act_name,lca_geo,lca_act_type,product_uuid,ecoinvent_prod
dabb3812-eee9-5d2b-bc23-0f9a38e6f71e_bded6c5a-4dca-497e-bdd9-fcd343012087,dabb3812-eee9-5d2b-bc23-0f9a38e6f71e,"bark chips, wet, measured as dry mass to generic market for residual hardwood, wet",ch,ordinary transforming activity,bded6c5a-4dca-497e-bdd9-fcd343012087,"residual hardwood, wet"
3b34f2a3-abfb-5681-ac78-60c8fada5b16_61c1d37e-ad50-4159-b379-cfe3976720bf,3b34f2a3-abfb-5681-ac78-60c8fada5b16,market for nitrous oxide,glo,market activity,61c1d37e-ad50-4159-b379-cfe3976720bf,nitrous oxide
3a2ab192-109a-5fa4-b9d9-7ed5421ce5c6_dfaef357-a79e-4846-aabc-848b1ab59fbb,3a2ab192-109a-5fa4-b9d9-7ed5421ce5c6,"market for sawdust, wet, measured as dry mass",ch,market activity,dfaef357-a79e-4846-aabc-848b1ab59fbb,"sawdust, wet, measured as dry mass"
16e0e4f7-a44f-55d5-ae85-b2a614f42095_d5d05133-2092-451a-b9fa-c782a6ce3786,16e0e4f7-a44f-55d5-ae85-b2a614f42095,"market for sewage sludge, 70% water, WWT, WW from maize starch production",ch,market activity,d5d05133-2092-451a-b9fa-c782a6ce3786,"sewage sludge, 70% water, WWT, WW from maize starch production"
732c6740-c4fb-598d-89a0-f8d0a443913f_0d84cdfe-bcf2-4821-8f34-d93b9f611c11,732c6740-c4fb-598d-89a0-f8d0a443913f,phenolic resin production,rer,ordinary transforming activity,0d84cdfe-bcf2-4821-8f34-d93b9f611c11,phenolic resin
6632b6ca-fdb9-5d16-a1b1-599bb8bff19b_60e40c5e-8a0e-52f7-8c7f-2664ac536903,6632b6ca-fdb9-5d16-a1b1-599bb8bff19b,"treatment of sewage sludge, 97% water, WWT, rainwater mineral oil storage, landfarming",europe without switzerland,ordinary transforming activity,60e40c5e-8a0e-52f7-8c7f-2664ac536903,"organic nitrogen fertiliser, as N"
a73e89c1-abd9-54a1-8c44-17547de7e7ef_f1efe0d9-811f-4bf7-af7b-81aff81f5568,a73e89c1-abd9-54a1-8c44-17547de7e7ef,"catch crop growing, ryegrass, September-April, organic fertiliser 40 kg N, one cut",ch,ordinary transforming activity,f1efe0d9-811f-4bf7-af7b-81aff81f5568,ryegrass silage
da6fd7f1-4ee6-5491-81a9-2e42ce8968dd_f6ba241a-2732-47fb-bff3-ca4a3e30faa3,da6fd7f1-4ee6-5491-81a9-2e42ce8968dd,"nuclear fuel element production, for pressure water reactor, UO2 3.8% & MOX",row,ordinary transforming activity,f6ba241a-2732-47fb-bff3-ca4a3e30faa3,"nuclear fuel element, for pressure water reactor, UO2 3.8% & MOX"
59abf99d-3a33-5d9c-a8d7-a2fc6b146250_3103a12f-4541-4c57-88e1-79d331927a66,59abf99d-3a33-5d9c-a8d7-a2fc6b146250,"battery cell production, Li-ion, LiMn2O4",row,ordinary transforming activity,3103a12f-4541-4c57-88e1-79d331927a66,"battery cell, Li-ion, LiMn2O4"
25bb2c21-f6f5-58e1-b110-9025bfb6a70f_aa0d7c65-0f57-49ed-a01e-01f2b4bc4ac4,25bb2c21-f6f5-58e1-b110-9025bfb6a70f,"impact extrusion of aluminium, 4 strokes",rer,ordinary transforming activity,aa0d7c65-0f57-49ed-a01e-01f2b4bc4ac4,"impact extrusion of aluminium, 4 strokes"
c6588bbf-2571-50e5-b3fb-c187d3ceb09b_bd9f3f8b-c561-4604-b683-4e53f704bd02,c6588bbf-2571-50e5-b3fb-c187d3ceb09b,oxidation of butane,row,ordinary transforming activity,bd9f3f8b-c561-4604-b683-4e53f704bd02,methyl acetate
00299986-0b1a-5f9c-b1c7-a919ac63f737_d4ee8f39-342b-4443-bbb9-c49b6801b5d6,00299986-0b1a-5f9c-b1c7-a919ac63f737,concrete block production,row,ordinary transforming activity,d4ee8f39-342b-4443-bbb9-c49b6801b5d6,concrete block
d75ddb25-1efc-554d-936e-bbfe99ee910a_4c2b6470-79f6-40e4-b6c0-08a769c9ab04,d75ddb25-1efc-554d-936e-bbfe99ee910a,maleic anhydride production by catalytic oxidation of benzene,row,ordinary transforming activity,4c2b6470-79f6-40e4-b6c0-08a769c9ab04,maleic anhydride
