clustered,ecoinvent_prod,model_similarity
intermediate layers for cardboard boxes,three and five layered board,0.6577798509
intermediate layers for cardboard boxes,gypsum fibreboard,0.6551782525
intermediate layers for cardboard boxes,"containerboard, linerboard",0.6539625297
intermediate layers for cardboard boxes,"bottom ash, MSWI[F]-WWT, WW from soft fibreboard production",0.6530403049
intermediate layers for cardboard boxes,"fibreboard, soft, without adhesives",0.6525356589
construction of flues,"ventilation duct, connection piece, steel, 100x50 mm",0.655996361
construction of flues,"ventilation duct, steel, 100x50 mm",0.6557207523
construction of flues,"ventilation system, central, 1 x 720 m3/h, steel ducts, with earth tube heat exchanger",0.6524482019
construction of flues,"ventilation system, decentralized, 6 x 120 m3/h, steel ducts",0.6513938465
construction of flues,"ventilation duct, elbow 90�, steel, 100x50 mm",0.6513597159
athlete's diets,protein pea,0.6506082231
athlete's diets,"protein pea, feed, Swiss integrated production",0.6487047053
athlete's diets,glucose,0.6482867878
athlete's diets,"protein pea, Swiss integrated production",0.6479288544
athlete's diets,"tilapia feed, 24-28% protein",0.6475983261
3d design,"deep drawing, steel, 38000 kN press, automode",0.6540090487
3d design,"deep drawing, steel, 3500 kN press, automode",0.6518876404
3d design,"deep drawing, steel, 10000 kN press, automode",0.6517562375
3d design,"deep drawing, steel, 650 kN press, automode",0.6512004679
3d design,"deep drawing, steel, 38000 kN press, single stroke",0.6499373007
"machine tools, special","laser machining, metal, with YAG-laser, 330W power",0.6606199454
"machine tools, special","machine operation, diesel, < 18.64 kW, high load factor",0.659958414
"machine tools, special","metal working machine, unspecified",0.6598405748
"machine tools, special","machine operation, diesel, < 18.64 kW, low load factor",0.6597608569
"machine tools, special","laser machining, metal, with YAG-laser, 40W power",0.6596208877
feasibility analysis,airport,0.6333403995
feasibility analysis,"planning, heat and power co-generation unit, 160kW electrical",0.6331982443
feasibility analysis,"deep drawing, steel, 38000 kN press, automode",0.6327756111
feasibility analysis,clay pit infrastructure,0.6326120861
feasibility analysis,"deep drawing, steel, 10000 kN press, automode",0.6321642355
thermal profiling,"heat pump, diffusion absorption, 4kW, future",0.6522153629
thermal profiling,"heat, diffusion absorption heat pump",0.6493875378
thermal profiling,"heat, central or small-scale, Jakobsberg",0.6482419052
thermal profiling,"selective coat, copper sheet, physical vapour deposition",0.6480431898
thermal profiling,"selective coat, copper sheet, sputter deposition",0.6466850912
profile grinding machines for woodworking,"metal working machine, unspecified",0.6528606237
profile grinding machines for woodworking,"wood chipping, chipper, mobile, diesel, at forest road",0.6520070327
profile grinding machines for woodworking,"steel removed by drilling, computer numerical controlled",0.6515261272
profile grinding machines for woodworking,"wood chipping, industrial residual wood, stationary electric chipper",0.6512431834
profile grinding machines for woodworking,"wood chipping, forwarder with terrain chipper, in forest",0.6509277508
pipe working transfer lines,"transmission network, electricity, high voltage",0.649146175
pipe working transfer lines,"distribution network, electricity, low voltage",0.6489614158
pipe working transfer lines,"sewer grid, rural",0.6485173006
pipe working transfer lines,"sewer grid, 1.6E8l/year, 6 km",0.648387338
pipe working transfer lines,"transmission network, electricity, medium voltage",0.6482562488
printing services,"printer, laser, colour",0.6629510722
printing services,paper machine,0.6626385176
printing services,"used printer, laser",0.6624435466
printing services,"printer, laser, black/white",0.6619024732
printing services,"paper mill, integrated",0.6615019463
