group_var,ep_id,ep_country,ep_main_act,ep_clustered,activity_uuid_product_uuid,multi_match,completion
aluminium alloys-.-austria-.-manufacturer/ producer,ab79a46eac93cc4fa107b3363492feadbdbe3494,austria,manufacturer/ producer,aluminium alloys,05978581-4a82-5496-8729-1a1595cb80fa_aa81aad8-3eea-4eb5-b33c-97621400e199,False,medium
aluminium alloys-.-france-.-manufacturer/ producer,ab79a46eac93cc4fa107b3363492feadbdbe3494,france,manufacturer/ producer,aluminium alloys,05978581-4a82-5496-8729-1a1595cb80fa_aa81aad8-3eea-4eb5-b33c-97621400e199,False,medium
aluminium alloys-.-germany-.-manufacturer/ producer,ab79a46eac93cc4fa107b3363492feadbdbe3494,germany,manufacturer/ producer,aluminium alloys,05978581-4a82-5496-8729-1a1595cb80fa_aa81aad8-3eea-4eb5-b33c-97621400e199,False,medium
aluminium alloys-.-spain-.-manufacturer/ producer,ab79a46eac93cc4fa107b3363492feadbdbe3494,spain,manufacturer/ producer,aluminium alloys,05978581-4a82-5496-8729-1a1595cb80fa_aa81aad8-3eea-4eb5-b33c-97621400e199,False,medium
aluminium alloys-.-germany-.-wholesaler,ab79a46eac93cc4fa107b3363492feadbdbe3494,germany,wholesaler,aluminium alloys,7efc6c05-5022-5a97-a7a1-f043a70329f4_aa81aad8-3eea-4eb5-b33c-97621400e199,False,medium
aluminium alloys-.-germany-.-distributor,ab79a46eac93cc4fa107b3363492feadbdbe3494,germany,distributor,aluminium alloys,7efc6c05-5022-5a97-a7a1-f043a70329f4_aa81aad8-3eea-4eb5-b33c-97621400e199,False,medium
aluminium alloys-.-germany-.-agent/ representative,ab79a46eac93cc4fa107b3363492feadbdbe3494,germany,agent/ representative,aluminium alloys,7efc6c05-5022-5a97-a7a1-f043a70329f4_aa81aad8-3eea-4eb5-b33c-97621400e199,False,medium
aluminium alloys-.-germany-.-retailer,ab79a46eac93cc4fa107b3363492feadbdbe3494,germany,retailer,aluminium alloys,7efc6c05-5022-5a97-a7a1-f043a70329f4_aa81aad8-3eea-4eb5-b33c-97621400e199,False,medium
aluminium alloys-.-austria-.-wholesaler,ab79a46eac93cc4fa107b3363492feadbdbe3494,austria,wholesaler,aluminium alloys,7efc6c05-5022-5a97-a7a1-f043a70329f4_aa81aad8-3eea-4eb5-b33c-97621400e199,False,medium
aluminium alloys-.-spain-.-distributor,ab79a46eac93cc4fa107b3363492feadbdbe3494,spain,distributor,aluminium alloys,7efc6c05-5022-5a97-a7a1-f043a70329f4_aa81aad8-3eea-4eb5-b33c-97621400e199,False,medium
aluminium alloys-.-spain-.-wholesaler,ab79a46eac93cc4fa107b3363492feadbdbe3494,spain,wholesaler,aluminium alloys,7efc6c05-5022-5a97-a7a1-f043a70329f4_aa81aad8-3eea-4eb5-b33c-97621400e199,False,medium
aluminium alloys-.-spain-.-agent/ representative,ab79a46eac93cc4fa107b3363492feadbdbe3494,spain,agent/ representative,aluminium alloys,7efc6c05-5022-5a97-a7a1-f043a70329f4_aa81aad8-3eea-4eb5-b33c-97621400e199,False,medium
aluminium alloys-.-netherlands-.-wholesaler,ab79a46eac93cc4fa107b3363492feadbdbe3494,netherlands,wholesaler,aluminium alloys,7efc6c05-5022-5a97-a7a1-f043a70329f4_aa81aad8-3eea-4eb5-b33c-97621400e199,False,medium
aluminium alloys-.-france-.-distributor,ab79a46eac93cc4fa107b3363492feadbdbe3494,france,distributor,aluminium alloys,7efc6c05-5022-5a97-a7a1-f043a70329f4_aa81aad8-3eea-4eb5-b33c-97621400e199,False,medium
aluminium alloys-.-france-.-wholesaler,ab79a46eac93cc4fa107b3363492feadbdbe3494,france,wholesaler,aluminium alloys,7efc6c05-5022-5a97-a7a1-f043a70329f4_aa81aad8-3eea-4eb5-b33c-97621400e199,False,medium
gold-.-austria-.-manufacturer/ producer,09feb137fd5e58ac9131bff6c66ba2e70260bf8c,austria,manufacturer/ producer,gold,725ee921-d773-5cbe-b2d6-b8a746a25a2f_e09971fb-f77e-48a3-99a8-4feba6a59bb4,False,high
gold-.-france-.-manufacturer/ producer,09feb137fd5e58ac9131bff6c66ba2e70260bf8c,france,manufacturer/ producer,gold,725ee921-d773-5cbe-b2d6-b8a746a25a2f_e09971fb-f77e-48a3-99a8-4feba6a59bb4,False,high
gold-.-germany-.-manufacturer/ producer,09feb137fd5e58ac9131bff6c66ba2e70260bf8c,germany,manufacturer/ producer,gold,725ee921-d773-5cbe-b2d6-b8a746a25a2f_e09971fb-f77e-48a3-99a8-4feba6a59bb4,False,high
gold-.-spain-.-manufacturer/ producer,09feb137fd5e58ac9131bff6c66ba2e70260bf8c,spain,manufacturer/ producer,gold,725ee921-d773-5cbe-b2d6-b8a746a25a2f_e09971fb-f77e-48a3-99a8-4feba6a59bb4,False,high
gold-.-germany-.-distributor,09feb137fd5e58ac9131bff6c66ba2e70260bf8c,germany,distributor,gold,9638dc2f-c08a-5433-8075-7dba2b6f640d_e09971fb-f77e-48a3-99a8-4feba6a59bb4,False,high
gold-.-germany-.-wholesaler,09feb137fd5e58ac9131bff6c66ba2e70260bf8c,germany,wholesaler,gold,9638dc2f-c08a-5433-8075-7dba2b6f640d_e09971fb-f77e-48a3-99a8-4feba6a59bb4,False,high
gold-.-germany-.-retailer,09feb137fd5e58ac9131bff6c66ba2e70260bf8c,germany,retailer,gold,9638dc2f-c08a-5433-8075-7dba2b6f640d_e09971fb-f77e-48a3-99a8-4feba6a59bb4,False,high
gold-.-austria-.-distributor,09feb137fd5e58ac9131bff6c66ba2e70260bf8c,austria,distributor,gold,9638dc2f-c08a-5433-8075-7dba2b6f640d_e09971fb-f77e-48a3-99a8-4feba6a59bb4,False,high
gold-.-austria-.-wholesaler,09feb137fd5e58ac9131bff6c66ba2e70260bf8c,austria,wholesaler,gold,9638dc2f-c08a-5433-8075-7dba2b6f640d_e09971fb-f77e-48a3-99a8-4feba6a59bb4,False,high
gold-.-spain-.-distributor,09feb137fd5e58ac9131bff6c66ba2e70260bf8c,spain,distributor,gold,9638dc2f-c08a-5433-8075-7dba2b6f640d_e09971fb-f77e-48a3-99a8-4feba6a59bb4,False,high
gold-.-spain-.-wholesaler,09feb137fd5e58ac9131bff6c66ba2e70260bf8c,spain,wholesaler,gold,9638dc2f-c08a-5433-8075-7dba2b6f640d_e09971fb-f77e-48a3-99a8-4feba6a59bb4,False,high
gold-.-spain-.-agent/ representative,09feb137fd5e58ac9131bff6c66ba2e70260bf8c,spain,agent/ representative,gold,9638dc2f-c08a-5433-8075-7dba2b6f640d_e09971fb-f77e-48a3-99a8-4feba6a59bb4,False,high
gold-.-spain-.-retailer,09feb137fd5e58ac9131bff6c66ba2e70260bf8c,spain,retailer,gold,9638dc2f-c08a-5433-8075-7dba2b6f640d_e09971fb-f77e-48a3-99a8-4feba6a59bb4,False,high
