main_activity,clustered,tilt_subsector
missing,turning,Iron & Steel
subcontractor,turning,Iron & Steel
retailer,turning,Iron & Steel
subcontractor,forming,Iron & Steel
multi-category,forming,Iron & Steel
agent/ representative,forming,Iron & Steel
retailer,forming,Iron & Steel
subcontractor,cutting,Iron & Steel
multi-category,cutting,Iron & Steel
agent/ representative,cutting,Iron & Steel
retailer,cutting,Iron & Steel
agent/ representative,machining,Iron & Steel
retailer,machining,Iron & Steel
subcontractor,surface treatment,Iron & Steel
agent/ representative,surface treatment,Iron & Steel
subcontractor,surface coating,Iron & Steel
agent/ representative,surface coating,Iron & Steel
missing,fastening devices,Iron & Steel
service provider,aluminium die cut articles,Iron & Steel
service provider,band steel cuts (cutting dies),Iron & Steel
subcontractor,"hand tools, non-power",Food Related Products
multi-category,"hand tools, non-power",Iron & Steel
missing,galvanization,Iron & Steel
multi-category,galvanization,Iron & Steel
subcontractor,heat treatment of steel,Iron & Steel
multi-category,heat treatment of steel,Iron & Steel
subcontractor,heat treatment of metals,Iron & Steel
multi-category,heat treatment of metals,Iron & Steel
distributor,zinc electroplating,Iron & Steel
wholesaler,zinc electroplating,Iron & Steel
missing,zinc electroplating,Iron & Steel
subcontractor,zinc electroplating,Iron & Steel
service provider,"walkways, metal",Iron & Steel
wholesaler,"walkways, metal",Other Metals
retailer,"walkways, metal",Other Metals
distributor,bending,Iron & Steel
wholesaler,bending,Iron & Steel
subcontractor,bending,Iron & Steel
agent/ representative,bending,Iron & Steel
distributor,folding,Iron & Steel
wholesaler,folding,Iron & Steel
multi-category,folding,Iron & Steel
service provider,"plates, ferrous metal",Iron & Steel
distributor,"plates, ferrous metal",Other Metals
service provider,stainless sheets,Iron & Steel
service provider,cnc punching work,Iron & Steel
service provider,perforated sheet metal products (semi-finished),Iron & Steel
service provider,stainless steel perforated sheet,Iron & Steel
manufacturer/ producer,stainless steel perforated sheet,Iron & Steel
subcontractor,"lacquering, steels",Iron & Steel
subcontractor,"lacquering, metals",Iron & Steel
distributor,steel transformation,Iron & Steel
wholesaler,steel transformation,Iron & Steel
subcontractor,steel transformation,Iron & Steel
multi-category,steel transformation,Iron & Steel
agent/ representative,steel transformation,Iron & Steel
retailer,steel transformation,Iron & Steel
distributor,metal transformation,Iron & Steel
wholesaler,metal transformation,Iron & Steel
